datetime,HML,SMB,Rf,asi,Mkt-Rf
2021-09-30,-0.00022858947029031208,0.009392563344653115,0.0,0.025537302016447994,0.025537302016447994
2021-10-31,0.039417193128587026,0.08844091403335673,0.0,0.045185903583316867,0.045185903583316867
2021-11-30,-0.011932074493838148,-0.01711445192426752,0.0,0.028769962426438367,0.028769962426438367
2021-12-31,0.01885888583857296,-0.07509946881305019,-0.0039999999999998925,-0.012292114620379047,-0.008292114620379154
2022-01-31,-0.05413207140131848,-0.0342124048891446,0.0,0.0914924302799478,0.0914924302799478
2022-02-28,-0.1449124397219538,-0.3741748948836933,0.0,0.016511837337965796,0.016511837337965796
2022-03-31,-0.007865416937987806,0.06163360631333839,-0.29718875502008035,-0.009052753365150878,0.2881360016549295
2022-04-30,-0.1531469926168128,0.0912599374741606,-0.005714285714285672,0.05692395776642756,0.06263824348071323
2022-05-31,0.061007304911009724,-0.01642784331194861,0.4195402298850577,0.08054563452512009,-0.3389945953599376
2022-06-30,0.005400704661600624,-0.020102698657305185,-0.02429149797570851,-0.03392334054494084,-0.00963184256923233
